ID,y
TEST_0000,84.15236125
TEST_0001,82.32232
TEST_0002,91.04960525
TEST_0003,91.554419
TEST_0004,82.63594875000001
TEST_0005,82.88299875
TEST_0006,82.57074650000001
TEST_0007,82.66665
TEST_0008,90.6827815
TEST_0009,82.83211
TEST_0010,84.04048275
TEST_0011,82.89213
TEST_0012,83.43908725
TEST_0013,83.8952385
TEST_0014,82.72940150000001
TEST_0015,93.96361900000001
TEST_0016,86.020031
TEST_0017,83.60338775
TEST_0018,83.05089625
TEST_0019,90.679931
TEST_0020,85.126615
TEST_0021,82.2142085
TEST_0022,89.7919665
TEST_0023,82.933109
TEST_0024,85.54512
TEST_0025,83.9562895
TEST_0026,90.80427750000001
TEST_0027,82.3264375
TEST_0028,84.0301875
TEST_0029,85.965286
TEST_0030,83.81846725
TEST_0031,82.85105250000001
TEST_0032,83.598886
TEST_0033,82.937475
TEST_0034,83.55976775
TEST_0035,83.992876
TEST_0036,83.21115624999999
TEST_0037,91.73188875
TEST_0038,82.3245055
TEST_0039,84.54020750000001
TEST_0040,89.8918535
TEST_0041,84.20333625
TEST_0042,83.44291899999999
TEST_0043,82.834535
TEST_0044,85.394055
TEST_0045,82.17494875
TEST_0046,82.10157
TEST_0047,82.18351675
TEST_0048,89.6861575
TEST_0049,83.8789435
TEST_0050,82.8374005
TEST_0051,82.2977075
TEST_0052,82.58533375
TEST_0053,82.309961
TEST_0054,84.09427375
TEST_0055,83.86779750000001
TEST_0056,90.287173
TEST_0057,92.9566725
TEST_0058,90.39415600000001
TEST_0059,82.46712475
TEST_0060,91.0309025
TEST_0061,84.54032099999999
TEST_0062,83.0289465
TEST_0063,90.59241125
TEST_0064,84.41683625
TEST_0065,90.62718199999999
TEST_0066,84.3515675
TEST_0067,91.06687849999999
TEST_0068,82.76741
TEST_0069,85.2097665
TEST_0070,82.44657275
TEST_0071,86.363065
TEST_0072,83.40314125
TEST_0073,83.7656695
TEST_0074,82.477035
TEST_0075,84.53302
TEST_0076,89.64281799999999
TEST_0077,83.62596
TEST_0078,82.446735
TEST_0079,85.0384725
TEST_0080,83.6261425
TEST_0081,84.42557475
TEST_0082,90.314429
TEST_0083,82.8843595
TEST_0084,90.39259375
TEST_0085,92.8993725
TEST_0086,93.78158
TEST_0087,82.45655149999999
TEST_0088,82.2682685
TEST_0089,82.39500349999999
TEST_0090,83.75605750000001
TEST_0091,82.694035
TEST_0092,84.0306285
TEST_0093,82.58924875
TEST_0094,82.98527250000001
TEST_0095,85.58164500000001
TEST_0096,91.15690900000001
TEST_0097,82.98843649999999
TEST_0098,90.47856900000001
TEST_0099,84.76521625000001
TEST_0100,81.86472624999999
TEST_0101,82.34672025
TEST_0102,83.11475475
TEST_0103,91.91034124999999
TEST_0104,87.93117
TEST_0105,83.009445
TEST_0106,88.77431125000001
TEST_0107,91.8491215
TEST_0108,92.00760525000001
TEST_0109,83.681319
TEST_0110,82.4658865
TEST_0111,82.3068175
TEST_0112,82.80629250000001
TEST_0113,83.55920599999999
TEST_0114,82.8640825
TEST_0115,83.20299125
TEST_0116,82.70608125
TEST_0117,90.14314375
TEST_0118,82.6099225
TEST_0119,82.52814000000001
TEST_0120,83.0883625
TEST_0121,91.24636625
TEST_0122,93.51889249999999
TEST_0123,91.66828375
TEST_0124,82.90034
TEST_0125,92.17193125
TEST_0126,89.64747525
TEST_0127,83.2833625
TEST_0128,82.513936
TEST_0129,83.62142550000002
TEST_0130,92.109669
TEST_0131,91.449695
TEST_0132,82.41125625
